#    L    TT             EE             TE             PP             TP          
     2   0.101616E+04   0.308803E-01   0.262115E+01   0.104002E+07   0.278474E+05
     3   0.962787E+03   0.396865E-01   0.293985E+01   0.160138E+07   0.332186E+05
     4   0.911426E+03   0.344905E-01   0.275836E+01   0.209878E+07   0.356760E+05
     5   0.873146E+03   0.230856E-01   0.235028E+01   0.253769E+07   0.366039E+05
     6   0.847087E+03   0.129389E-01   0.189413E+01   0.292515E+07   0.367123E+05
     7   0.830608E+03   0.698343E-02   0.148886E+01   0.326884E+07   0.363895E+05
     8   0.820793E+03   0.447957E-02   0.117791E+01   0.357482E+07   0.357931E+05
     9   0.816290E+03   0.357586E-02   0.966728E+00   0.384848E+07   0.349991E+05
    10   0.815662E+03   0.304119E-02   0.847346E+00   0.409358E+07   0.340973E+05
    11   0.817529E+03   0.255578E-02   0.802398E+00   0.431469E+07   0.331940E+05
    12   0.822624E+03   0.223083E-02   0.812916E+00   0.451272E+07   0.323068E+05
    13   0.829048E+03   0.214009E-02   0.855288E+00   0.469235E+07   0.314973E+05
    14   0.836635E+03   0.222317E-02   0.908446E+00   0.485372E+07   0.306707E+05
    15   0.844338E+03   0.239875E-02   0.964856E+00   0.500025E+07   0.298452E+05
    16   0.853938E+03   0.264690E-02   0.102604E+01   0.513251E+07   0.289876E+05
    17   0.865282E+03   0.301021E-02   0.108948E+01   0.525192E+07   0.281296E+05
    18   0.877226E+03   0.353235E-02   0.115391E+01   0.536021E+07   0.273163E+05
    19   0.890531E+03   0.421690E-02   0.122253E+01   0.545803E+07   0.265494E+05
    20   0.903583E+03   0.504136E-02   0.129029E+01   0.554592E+07   0.258202E+05
    21   0.917082E+03   0.599926E-02   0.136179E+01   0.562498E+07   0.251217E+05
    22   0.931054E+03   0.710154E-02   0.143737E+01   0.569627E+07   0.244484E+05
    23   0.945115E+03   0.834037E-02   0.151436E+01   0.576031E+07   0.237996E+05
    24   0.959584E+03   0.971284E-02   0.158937E+01   0.581751E+07   0.231754E+05
    25   0.974596E+03   0.112236E-01   0.165459E+01   0.586845E+07   0.225759E+05
    26   0.989660E+03   0.128849E-01   0.171370E+01   0.591374E+07   0.220001E+05
    27   0.100518E+04   0.147077E-01   0.176748E+01   0.595385E+07   0.214434E+05
    28   0.102100E+04   0.166859E-01   0.181120E+01   0.598915E+07   0.209020E+05
    29   0.103702E+04   0.188459E-01   0.184988E+01   0.601972E+07   0.203802E+05
    30   0.105345E+04   0.212160E-01   0.187688E+01   0.604565E+07   0.198823E+05
    31   0.106968E+04   0.237928E-01   0.190299E+01   0.606750E+07   0.194068E+05
    32   0.108651E+04   0.265921E-01   0.192315E+01   0.608583E+07   0.189510E+05
    33   0.110342E+04   0.295737E-01   0.193583E+01   0.610086E+07   0.185123E+05
    34   0.112039E+04   0.327629E-01   0.194208E+01   0.611273E+07   0.180881E+05
    35   0.113800E+04   0.361665E-01   0.193274E+01   0.612165E+07   0.176748E+05
